team,venue,goals,games_played,shots_allowed_pg,xg,home_ppg_diff,defenders_out,form_last_5,goals_scored_last_5,goals_conceded_last_5,motivation,open_play_pct,set_piece_pct,counter_attack_pct,form
Manchester City,home,22,5,8.8,18.16,1.50,3,15,14,3,5,0.70,0.15,0.15,WWWWW
Arsenal,home,20,5,4.5,16.76,2.00,3,15,11,2,5,0.50,0.25,0.05,WWWWW
Aston Villa,home,13,5,11.5,10.45,1.40,2,15,10,2,5,0.69,0.31,0.00,WWWWW
Newcastle,home,14,5,10.5,15.75,1.00,6,13,10,5,4,0.33,0.33,0.07,WWDWW
Sunderland,home,15,5,12.0,8.96,1.00,2,11,9,5,4,0.46,0.31,0.08,WWDDW
Chelsea,home,12,5,9.8,14.86,0.40,2,10,9,4,4,0.58,0.17,0.17,WDWLW
Brighton,home,16,5,11.1,13.58,1.00,2,10,11,7,4,0.73,0.13,0.00,DLWWW
Brentford,home,16,5,13.0,16.28,1.00,1,10,10,6,4,0.38,0.23,0.38,DWWWL
Everton,home,11,5,10.5,12.95,0.40,1,9,8,8,4,0.50,0.50,0.13,WLLWW
Manchester Utd,home,16,5,9.1,17.82,0.00,3,8,11,8,4,0.91,0.36,0.00,DDLWW
Bournemouth,home,10,5,8.1,10.94,0.20,0,8,7,4,4,0.50,0.10,0.20,DLDWW
Leeds,home,13,5,11.1,15.24,0.00,1,7,10,9,3,0.38,0.46,0.00,DWLWL
Nottingham Forest,home,11,5,12.6,13.94,0.00,2,7,8,8,3,0.73,0.09,0.09,WLWDL
Liverpool,home,13,5,11.3,13.96,0.60,3,7,6,6,3,0.75,0.17,0.08,WDLLW
Fulham,home,14,5,9.4,11.39,0.00,2,6,9,8,3,0.82,0.18,0.00,LLWWL
West Ham,home,10,5,13.8,9.32,0.60,1,6,8,10,3,0.56,0.33,0.11,LLWWL
Crystal Palace,home,9,5,9.6,15.21,0.00,2,5,6,8,3,0.38,0.38,0.00,LLDWD
Tottenham,home,10,5,10.3,9.50,0.00,2,4,6,7,3,0.70,0.20,0.10,WLDLL
Burnley,home,7,5,13.5,7.23,0.00,4,3,4,8,2,0.71,0.14,0.14,LLLLW
Wolves,home,7,5,13.3,9.31,0.20,2,1,4,11,2,0.83,0.00,0.00,LLLLD
Manchester City,away,16,5,10.6,12.80,-1.50,2,9,10,7,5,0.56,0.13,0.19,WWLLW
Arsenal,away,10,5,10.4,13.97,-2.00,2,8,7,5,5,0.40,0.50,0.10,LDDWW
Aston Villa,away,12,5,13.6,8.62,-1.40,2,12,11,9,5,0.64,0.36,0.00,WWWLW
Newcastle,away,7,5,10.3,6.95,-1.00,5,3,7,10,3,0.71,0.29,0.00,LWLLL
Sunderland,away,4,5,17.4,7.61,-1.00,1,4,3,8,3,0.25,0.50,0.25,LDLLW
Chelsea,away,15,5,10.4,14.52,-0.40,2,10,7,3,4,0.47,0.47,0.07,DLWWW
Brighton,away,9,5,12.9,11.58,-1.00,2,5,5,7,3,0.56,0.44,0.00,LWDLD
Brentford,away,6,5,12.3,10.56,-1.00,3,3,3,8,3,0.67,0.00,0.33,LLLWL
Everton,away,7,5,15.9,8.13,-0.40,0,7,3,5,3,0.71,0.14,0.14,LWWDL
Manchester Utd,away,14,5,13.0,15.14,0.00,2,11,12,7,5,0.36,0.46,0.09,WWDWW
Bournemouth,away,15,5,16.4,13.89,-0.20,1,2,10,17,2,0.33,0.33,0.33,DLLLD
Leeds,away,7,5,12.0,9.15,0.00,1,1,4,12,2,0.71,0.29,0.00,DLLLL
Nottingham Forest,away,6,5,13.0,7.13,0.00,3,6,4,7,3,0.50,0.50,0.00,LWWLL
Liverpool,away,13,5,11.4,16.23,-0.60,4,4,8,11,3,0.77,0.08,0.08,DWLLL
Fulham,away,9,5,13.1,8.11,0.00,2,6,7,10,3,0.44,0.44,0.11,WWLLL
West Ham,away,9,5,16.8,9.09,-0.60,1,3,5,8,3,0.22,0.33,0.33,DDDLL
Crystal Palace,away,11,5,11.9,12.76,0.00,1,9,6,4,4,0.55,0.36,0.00,WWWLL
Tottenham,away,15,5,13.5,8.83,0.00,2,7,8,10,4,0.53,0.33,0.07,LDLWW
Burnley,away,11,5,17.4,9.06,0.00,2,3,8,12,3,0.64,0.18,0.00,LLLWL
Wolves,away,2,5,14.9,4.42,-0.20,2,0,1,11,2,0.50,0.50,0.00,LLLLL
