team,season_position,home_matches_played,home_goals_scored,home_goals_conceded,home_xg_for,home_xg_against,away_matches_played,away_goals_scored,away_goals_conceded,away_xg_for,away_xg_against,goals_scored_last_5,goals_conceded_last_5,home_goals_conceded_last_5,away_goals_conceded_last_5,defenders_out,form_last_5_overall,form_last_5_home,form_last_5_away,home_goals_openplay_for,home_goals_counter_for,home_goals_setpiece_for,home_goals_penalty_for,home_goals_owngoal_for,away_goals_openplay_for,away_goals_counter_for,away_goals_setpiece_for,away_goals_penalty_for,away_goals_owngoal_for,home_goals_openplay_against,home_goals_counter_against,home_goals_setpiece_against,home_goals_penalty_against,home_goals_owngoal_against,away_goals_openplay_against,away_goals_counter_against,away_goals_setpiece_against,away_goals_penalty_against,away_goals_owngoal_against
Bayern Munich,1,8,30,6,24.82,5.14,7,24,5,20.42,6.58,33,11,6,5,1,WDWWW,WWWWW,WWWDW,17,5,5,3,1,16,2,3,3,0,2,0,4,0,0,2,0,3,0,0
Borussia Dortmund,2,8,13,4,12.08,7.42,7,13,8,11.57,9.7,15,9,4,5,2,WDWWD,WWWW?,WDWLD,8,1,3,1,0,6,2,5,0,0,2,0,2,0,0,5,0,2,1,0
Bayer Leverkusen,3,8,18,6,17.42,6.15,7,15,13,13.81,13.25,23,12,2,10,3,WWLLW,WWLLW,WLLWW,8,4,5,1,0,10,1,2,2,0,3,0,3,0,0,4,2,5,2,1
RB Leipzig,4,8,18,6,18.67,9.7,7,11,13,12.43,12.3,23,12,5,7,0,LLWDW,WWLLW,LDLLD,11,2,4,1,1,8,1,2,0,0,5,1,0,0,0,9,2,2,0,0
Hoffenheim,5,8,14,11,12.14,10.9,7,13,9,13.57,12.67,20,9,4,5,1,DLWDD,WWDWL,DLDWW,9,2,3,0,1,8,3,0,2,1,4,2,3,2,0,3,0,6,0,0
VfB Stuttgart,6,8,9,8,11.47,11.2,7,16,13,13.01,11.87,18,16,8,8,2,DLWLD,WLLLW,WLDLW,7,0,1,1,0,12,0,3,1,0,5,1,0,2,0,7,4,0,2,1
Eintracht Frankfurt,7,8,12,9,11.92,8.47,7,18,21,12.38,14.69,13,17,4,13,1,LDWDW,WLWLW,LDWDD,9,1,0,2,0,11,1,6,0,0,5,4,0,0,0,10,3,6,2,0
Union Berlin,8,8,13,11,11.87,11.66,7,7,12,9.24,10.26,12,12,6,6,0,WWLLW,WLWLW,WLLWL,7,0,6,0,0,2,2,3,0,0,6,2,1,2,0,8,2,1,1,0
Freiburg,9,8,14,9,14.39,7.37,7,9,17,10.65,14.65,19,22,5,17,2,WDWLD,WDWWD,LLDLW,8,0,4,2,0,4,0,3,2,2,5,2,2,0,0,10,3,4,0,0
Werder Bremen,10,8,8,11,10.24,9.87,7,10,16,7.98,18.29,10,14,6,8,2,DLLDL,WLLLW,LDLLD,4,1,2,1,0,7,1,1,1,0,8,0,1,2,1,10,1,4,1,0
FC Koln,11,8,14,11,12.29,9.74,7,8,13,10.55,16.41,17,15,8,7,1,LLDDL,LLWDD,LDLLW,9,3,2,0,0,6,1,0,1,0,5,1,3,2,0,3,1,8,1,0
Borussia M.Gladbach,12,8,7,17,9.89,14.29,7,9,7,10.59,8.29,13,12,5,7,1,LLWDW,LLWDW,WWLLW,1,1,4,1,1,4,3,1,1,1,12,0,3,2,0,3,1,3,0,0
Hamburger SV,13,8,13,9,11.83,10.75,7,3,16,7.86,14.57,10,17,6,11,0,DLWWL,WWLWL,LLLDL,7,3,3,0,0,2,1,0,0,0,6,0,3,0,0,12,1,2,1,0
Wolfsburg,14,8,13,18,12.68,17.19,7,10,8,9.25,10.16,16,21,14,7,1,LWWDL,WWLLW,WDWLL,8,2,3,0,0,9,0,0,1,0,13,0,3,2,1,5,0,2,1,1
Augsburg,15,8,9,15,9.34,14.57,7,8,12,7.77,11.73,7,17,7,10,1,DLWLW,WLLWL,LLLDL,7,0,2,0,0,5,1,1,1,0,12,2,1,0,0,5,3,2,2,1
St. Pauli,16,8,8,15,8.2,11.9,7,5,11,6.09,15.18,8,19,11,8,1,WDLLL,WLLLW,DDLLL,3,1,3,1,0,4,0,1,0,0,9,3,3,0,0,9,1,1,0,0
FC Heidenheim,17,8,8,17,10.42,14.73,7,5,17,9.37,15.2,9,24,8,16,1,LLWWL,WLWWL,WLLLL,3,2,3,0,0,3,0,2,0,0,14,0,1,2,0,12,3,2,0,0
Mainz 05,18,8,5,9,11.77,13.53,7,8,15,8.05,15.64,8,20,7,13,1,DDLLD,LLLLL,LDLLL,2,0,2,1,0,4,1,1,2,0,5,2,1,1,2,11,1,2,1,0
