team,season_position,home_matches_played,home_goals_scored,home_goals_conceded,home_xg_for,home_xg_against,away_matches_played,away_goals_scored,away_goals_conceded,away_xg_for,away_xg_against,goals_scored_last_5,goals_conceded_last_5,home_goals_conceded_last_5,away_goals_conceded_last_5,defenders_out,form_last_5_overall,form_last_5_home,form_last_5_away,home_goals_openplay_for,home_goals_counter_for,home_goals_setpiece_for,home_goals_penalty_for,home_goals_owngoal_for,away_goals_openplay_for,away_goals_counter_for,away_goals_setpiece_for,away_goals_penalty_for,away_goals_owngoal_for,home_goals_openplay_against,home_goals_counter_against,home_goals_setpiece_against,home_goals_penalty_against,home_goals_owngoal_against,away_goals_openplay_against,away_goals_counter_against,away_goals_setpiece_against,away_goals_penalty_against,away_goals_owngoal_against
PSV Eindhoven,1,8,26,13,22.52,10.93,9,26,8,18.23,10.54,29,12,8,4,1,WWWWW,WWWWD,WWWWW,17,4,3,2,0,18,3,4,0,1,8,1,2,2,0,6,0,2,0,0
Feyenoord,2,9,22,12,22.94,12.48,8,20,9,17.37,8.19,25,15,10,5,2,DLWWL,DWLLW,LWLWW,17,1,3,1,0,11,3,5,1,0,9,2,1,0,0,5,2,0,2,0
Ajax,3,9,15,7,16.26,12.14,8,17,15,13.22,16.77,18,15,5,10,2,DWWWL,WWLDL,DWLWD,12,1,2,0,0,10,1,3,1,2,3,1,1,2,0,7,1,4,2,1
NEC Nijmegen,4,8,23,12,19.07,12.79,9,20,17,18.06,17.16,23,16,7,9,0,DDWWW,DWWWD,WWLDD,15,0,3,3,2,16,1,2,0,1,8,1,1,2,0,9,3,3,2,0
FC Groningen,5,8,14,7,16.37,9.33,9,11,15,16.4,14.48,11,12,6,6,0,DWWLD,WDDLL,WLWLW,10,1,1,2,0,6,2,2,1,0,5,0,2,0,0,11,1,1,1,1
AZ Alkmaar,6,7,18,15,17.01,11.69,9,13,13,19.36,13.82,18,19,11,8,2,LDLLL,DLWWD,LLLWW,11,2,0,3,2,9,1,2,1,0,12,1,1,1,0,7,1,5,0,0
Twente,7,8,12,10,18.09,8.22,9,14,11,20.88,13.87,14,11,4,7,2,DWDDD,WWDLW,DDDDD,6,0,2,4,0,11,0,1,2,0,4,1,4,0,1,7,1,1,1,1
FC Utrecht,8,9,18,9,16.18,10.98,8,10,14,9.73,14.39,15,16,5,11,0,LDDDD,LDWWW,DDDLL,11,1,6,0,0,8,0,2,0,0,7,1,1,0,0,10,2,1,1,0
SC Heerenveen,9,8,15,14,17.48,9.38,9,14,12,17.07,12.9,19,14,9,5,0,WWLLW,LWDWW,WWLLD,9,1,3,1,1,10,1,0,2,1,9,0,5,0,0,6,2,3,1,0
Sparta Rotterdam,10,9,9,18,12.38,17.78,8,9,13,12.25,14.24,7,12,5,7,1,WLWLD,LDWLW,WLLWL,7,0,0,2,0,3,1,4,1,0,12,2,3,0,1,8,2,2,1,0
Fortuna Sittard,11,9,16,13,16.52,15.33,8,9,16,7.8,18.32,14,20,9,11,1,WLLDD,WLDLW,LDLLL,5,6,3,2,0,7,0,2,0,0,8,1,1,0,3,12,2,1,1,0
Excelsior,12,9,8,10,14.79,19.59,7,8,17,10.56,14.35,12,13,5,8,0,WLWWL,WLWLW,WDLLW,3,2,2,1,0,7,0,0,1,0,6,0,3,1,0,12,1,2,2,0
Go Ahead Eagles,13,8,13,10,12.88,13.64,9,13,19,11.34,23.27,13,16,5,11,0,DLDDL,DDWWD,LDLLL,9,1,2,1,0,7,1,4,0,1,6,0,3,0,1,8,3,6,1,1
PEC Zwolle,14,8,7,11,8.05,12.84,9,14,27,10.73,26.5,14,27,7,20,0,LWLDW,WWWDL,LLDLD,3,3,1,0,0,12,1,1,0,0,9,1,1,0,0,19,3,2,3,0
Telstar,15,9,15,19,18.94,17.82,8,5,8,9.87,17.07,11,14,10,4,0,WDDLD,DLDDL,WDDLL,10,2,3,0,0,3,0,2,0,0,15,1,1,2,0,5,0,2,1,0
FC Volendam,16,9,14,12,14.18,14.09,8,5,19,6.27,20.12,10,19,6,13,0,LLLDL,LLDWW,LLLLL,9,1,3,1,0,4,1,0,0,0,9,0,1,1,1,12,3,3,1,0
Heracles,17,8,18,21,15.42,16.63,9,8,23,8.76,19.54,20,26,15,11,1,LLDDW,LDWWL,LDWLL,11,1,5,1,0,4,1,2,1,0,13,2,5,1,0,15,1,5,2,0
NAC Breda,18,9,9,10,13.95,12.07,8,7,16,9.84,17.49,9,14,5,9,0,LDLLL,LDWDL,LLLLD,4,1,3,1,0,2,0,3,1,1,5,2,3,0,0,10,0,2,3,1
