team,season_position,home_matches_played,home_goals_scored,home_goals_conceded,home_xg_for,home_xg_against,away_matches_played,away_goals_scored,away_goals_conceded,away_xg_for,away_xg_against,goals_scored_last_5,goals_conceded_last_5,home_goals_conceded_last_5,away_goals_conceded_last_5,defenders_out,form_last_5_overall,form_last_5_home,form_last_5_away,home_goals_openplay_for,home_goals_counter_for,home_goals_setpiece_for,home_goals_penalty_for,home_goals_owngoal_for,away_goals_openplay_for,away_goals_counter_for,away_goals_setpiece_for,away_goals_penalty_for,away_goals_owngoal_for,home_goals_openplay_against,home_goals_counter_against,home_goals_setpiece_against,home_goals_penalty_against,home_goals_owngoal_against,away_goals_openplay_against,away_goals_counter_against,away_goals_setpiece_against,away_goals_penalty_against,away_goals_owngoal_against
Barcelona,1,9,28,5,24.35,8.35,10,25,15,24.66,19.64,14,4,3,7,2,WWWWW,WWWWW,WWWWL,23,4,1,0,0,14,0,6,4,1,2,1,2,0,0,5,4,3,3,0
Real Madrid,2,9,21,6,23.9,9.28,10,20,11,23.48,15.72,12,4,4,4,2,WWWLW,WWLWW,WWDDD,10,1,6,4,0,10,6,2,2,0,4,1,1,0,0,5,1,3,2,0
Villarreal,3,9,20,6,20.09,11.23,8,14,10,12.9,12.09,10,6,5,6,2,WLWWW,WWWDL,WWWWL,13,5,2,0,0,10,2,1,1,0,3,1,0,2,0,7,1,1,1,0
Atl. Madrid,4,9,22,7,22.7,8.53,10,12,10,12.07,14.59,7,6,2,5,1,DWWLL,WWWWW,WDLLW,14,1,4,2,1,4,4,2,0,2,3,3,1,0,0,7,1,1,1,0
Espanyol,5,10,13,12,17.17,14.29,8,9,7,11.57,10.29,5,3,5,3,0,LWWWW,WLWWL,WWWLW,6,1,4,2,0,3,1,4,1,0,7,1,2,1,1,6,1,0,0,0
Betis,6,9,18,11,18.23,11.77,9,12,13,11.69,13.78,10,10,8,8,0,LWD LW,WLDWL,LDWDD,11,2,3,1,1,8,2,2,0,0,6,1,2,1,1,6,1,6,0,0
Celta Vigo,7,10,13,13,14.51,14.89,8,11,7,9.99,12.75,8,2,7,3,2,WDWWL,WWLLD,WDWWW,9,1,1,2,0,5,2,3,1,0,8,0,3,1,1,4,0,2,1,0
Ath Bilbao,8,10,10,11,15.85,8.14,9,7,14,11.53,13.67,3,8,6,10,4,DLLWL,LLWLW,LDWLL,6,0,1,3,0,2,1,3,0,1,8,1,1,0,1,10,1,3,0,0
Elche,9,10,17,8,17.16,14.88,8,7,15,6.08,14.83,9,7,6,11,1,LWLWL,LDWWD,LLLLL,13,4,0,0,0,4,1,1,0,1,4,1,2,1,0,12,2,0,1,0
Getafe,10,8,7,6,6.65,8.65,10,7,17,9.4,12.76,2,8,4,8,2,DLLLW,LLWLW,LDLLW,2,0,5,0,0,4,1,2,0,0,2,0,2,1,1,6,6,4,0,1
Sevilla,11,9,14,15,12.75,12.95,9,10,14,8.25,18.42,5,8,8,10,3,LLWDL,LLWLW,LDLLL,6,4,1,2,1,5,2,1,0,2,8,4,3,0,0,8,0,1,5,0
Osasuna,12,9,15,9,12.65,10.54,9,3,12,8.75,16.96,8,5,7,6,1,DWLWD,WWLLL,LDLLD,6,1,6,2,0,0,0,2,1,0,6,2,1,0,0,8,1,0,3,0
Alaves,13,10,12,10,14.3,12.58,8,3,11,8.47,11.75,4,9,5,11,2,DLLWL,DLWLW,LLLLL,4,1,3,4,0,0,0,2,0,1,4,4,1,1,0,9,1,0,1,0
Rayo Vallecano,14,8,5,5,12.98,8.36,10,9,16,13.77,18.44,2,7,2,9,3,DLDLD,DDDDW,LLDLW,3,0,2,0,0,5,2,1,1,0,1,0,3,1,0,8,6,0,2,0
Real Sociedad,15,9,13,14,15.41,11.58,9,9,12,12.9,13.56,5,8,9,5,1,DDLLL,LLLDW,DLWDD,7,2,2,2,0,7,1,0,1,0,6,3,4,1,0,6,1,2,2,1
Mallorca,16,9,11,11,11.95,11.8,9,9,15,9.17,19.23,7,6,6,7,0,LDWDD,LDWWD,DDLLW,9,0,0,2,0,5,1,2,1,0,6,1,2,1,1,10,1,2,2,0
Girona,17,9,8,17,11.47,19.41,9,9,17,10.4,16.44,5,9,8,17,1,WLWLD,LDWDW,WWLDL,4,1,1,2,0,5,1,1,2,0,11,1,2,3,0,10,1,4,2,0
Valencia,18,9,11,8,15.2,8.78,9,6,22,9.37,18.25,5,9,5,11,1,LD LDD,DDWDL,LLDLL,6,2,3,0,0,4,0,2,0,0,3,1,2,1,1,14,1,5,2,0
Levante,19,7,7,17,10.38,17.27,10,13,12,14.3,15.26,4,6,12,7,1,WDLLL,DLLLL,WLLLD,3,1,1,2,0,9,1,3,0,0,9,2,4,1,1,6,1,4,0,1
Oviedo,20,9,2,10,8.27,15.85,9,6,17,10.37,17.54,1,7,2,11,0,DDLDL,DDDDL,LDLLD,1,1,0,0,0,2,1,2,1,0,5,1,4,0,0,9,1,5,2,0
