team,season_position,home_matches_played,home_goals_scored,home_goals_conceded,home_xg_for,home_xg_against,away_matches_played,away_goals_scored,away_goals_conceded,away_xg_for,away_xg_against,goals_scored_last_5,goals_conceded_last_5,home_goals_conceded_last_5,away_goals_conceded_last_5,defenders_out,form_last_5_overall,form_last_5_home,form_last_5_away,home_goals_openplay_for,home_goals_counter_for,home_goals_setpiece_for,home_goals_penalty_for,home_goals_owngoal_for,away_goals_openplay_for,away_goals_counter_for,away_goals_setpiece_for,away_goals_penalty_for,away_goals_owngoal_for,home_goals_openplay_against,home_goals_counter_against,home_goals_setpiece_against,home_goals_penalty_against,home_goals_owngoal_against,away_goals_openplay_against,away_goals_counter_against,away_goals_setpiece_against,away_goals_penalty_against,away_goals_owngoal_against
Lens,1,8,16,4,20.31,9.3,8,12,9,14.44,14.29,20,8,2,6,1,WWWWW,WWWWW,WWWLW,6,0,7,2,1,5,4,2,1,0,3,1,0,0,0,3,1,3,2,0
Paris Saint-Germain,2,7,17,3,17.2,6.91,9,18,11,15.12,8.73,24,9,3,6,2,WWLWW,WWWDW,WLWDW,13,0,3,1,0,8,2,6,2,0,3,0,0,0,0,9,0,1,0,1
Marseille,3,8,24,8,18.62,8.06,8,12,7,13.13,10.64,24,10,6,4,1,WLWDW,WDDWW,LWLWW,14,1,4,4,1,10,1,1,0,0,4,2,2,0,0,5,0,0,1,1
Lille,4,8,16,6,17.68,8.95,8,17,14,13.73,12.87,20,11,4,7,4,WWWWL,WWWWD,WWLLW,11,0,2,3,0,14,1,2,0,0,5,0,1,0,0,7,0,4,2,1
Lyon,5,8,14,6,16.35,9.01,8,8,10,10.57,13.74,14,13,6,7,2,WLWDL,WWLLW,DDDLL,11,0,2,0,1,5,1,2,0,0,3,0,2,0,1,6,1,2,0,1
Rennes,6,8,18,8,15.91,12.65,8,9,16,7.98,17.25,20,16,7,9,2,WLWWW,WWWLD,WWDDD,10,1,5,1,1,8,0,0,1,0,6,1,0,1,0,11,0,3,2,0
Strasbourg,7,8,14,4,15.94,5.98,8,11,16,9.7,13.65,16,13,2,11,1,DLLLW,DLWWW,LLLDL,12,0,1,1,0,7,2,1,1,0,3,0,0,1,0,11,1,2,1,1
Toulouse,8,8,14,11,13.42,8.36,8,10,8,10.78,12.28,15,8,3,5,0,WWLDD,WLDDW,WDDLW,8,0,3,3,0,5,1,2,1,1,6,0,3,2,0,5,0,1,2,0
Monaco,9,8,16,12,17.54,11.4,8,10,15,14.88,15.59,12,17,12,14,1,LLWLL,WLWDD,LLLWD,8,1,2,3,2,8,1,0,1,0,6,2,1,3,0,8,2,3,1,1
Angers,10,8,12,7,11.3,10.69,8,5,11,7.29,16.99,14,12,4,8,0,WWLWW,WLWWD,WWLDL,8,1,1,1,1,2,1,1,1,0,5,1,0,1,0,7,1,3,0,0
Brest,11,8,12,10,15.85,10.54,8,9,16,7.83,14.73,10,16,5,11,0,LWWWL,WWD LD,WL LLD,5,1,4,2,0,5,0,0,3,1,8,1,1,0,1,11,0,3,2,0
Lorient,12,8,17,12,14.97,10.08,8,2,14,8.83,14.67,10,14,6,8,3,WWDDD,WWDDD,DDLLL,12,0,4,1,0,1,0,0,0,1,8,1,0,3,2,8,0,5,1,0
Nice,13,8,11,11,13.45,14.4,8,8,18,8.24,17.17,11,18,9,9,5,LLLLL,LLWWD,LLLLW,7,2,0,1,1,5,0,1,1,1,6,1,3,1,0,8,3,4,3,0
Paris FC,14,8,12,15,14.11,11.82,8,9,14,10.73,16.91,10,17,10,7,1,LDDLL,LDLLD,DLWLD,7,1,2,2,0,7,1,0,1,0,9,2,4,0,0,6,0,4,4,0
Le Havre,15,8,9,8,13.91,7.61,8,4,14,7.39,16.72,7,14,4,10,2,LDLLD,DLDWD,LLDWL,4,1,3,1,0,4,0,0,0,0,6,0,1,1,0,10,0,1,2,1
Auxerre,16,9,10,11,12.9,10.5,7,4,14,8.28,14.14,9,17,7,10,2,LDWLL,WLDLL,LDLLL,4,0,2,2,2,2,0,1,1,0,8,0,3,0,0,6,2,3,1,2
Nantes,17,8,8,15,9.92,15.8,8,6,13,5.75,16.97,9,22,15,13,0,LLLDD,LDLLL,LLDWD,2,3,3,0,0,4,0,2,0,0,9,3,1,1,1,7,2,2,2,0
Metz,18,8,7,10,9.29,10.77,8,10,27,8.14,21.35,12,24,8,16,1,LLLWL,LLWWL,LLWLL,2,2,1,2,0,5,1,2,1,1,7,1,1,1,0,16,1,5,4,1
