team,season_position,home_matches_played,home_goals_scored,home_goals_conceded,home_xg_for,home_xg_against,away_matches_played,away_goals_scored,away_goals_conceded,away_xg_for,away_xg_against,goals_scored_last_5,goals_conceded_last_5,home_goals_conceded_last_5,away_goals_conceded_last_5,defenders_out,form_last_5_overall,form_last_5_home,form_last_5_away,home_goals_openplay_for,home_goals_counter_for,home_goals_setpiece_for,home_goals_penalty_for,home_goals_owngoal_for,away_goals_openplay_for,away_goals_counter_for,away_goals_setpiece_for,away_goals_penalty_for,away_goals_owngoal_for,home_goals_openplay_against,home_goals_counter_against,home_goals_setpiece_against,home_goals_penalty_against,home_goals_owngoal_against,away_goals_openplay_against,away_goals_counter_against,away_goals_setpiece_against,away_goals_penalty_against,away_goals_owngoal_against
Inter,1,9,21,5,21.58,8.03,8,14,9,13.34,8.07,12,6,2,4,2,WWWWL,WLWWW,WWWLW,16,0,3,1,1,9,0,3,1,1,2,2,0,1,0,4,2,2,1,0
AC Milan,2,9,15,8,17.55,10.00,7,12,5,11.4,8.28,10,4,5,5,2,WWWDW,DWWDW,WWDDD,9,1,3,2,0,8,1,2,1,0,4,0,2,2,0,2,1,1,1,0
Napoli,3,7,14,6,10.87,8.32,9,10,7,15.53,9.92,8,3,4,4,1,WWWLW,WW DWW,WLWL L,11,1,1,1,0,4,1,3,2,0,3,1,0,2,0,5,0,2,0,0
Juventus,4,8,14,7,15.83,8.84,9,9,8,12.26,9.54,8,4,3,5,2,WWWLW,WWWDW,WLDWL,6,1,5,2,0,5,2,2,0,0,6,0,1,0,0,4,2,1,1,0
AS Roma,5,8,8,4,10.33,8.6,8,9,6,11.47,13.78,5,5,3,5,2,WLLLW,WLWWL,LLWLW,4,1,2,1,0,8,0,1,0,0,1,2,1,0,0,2,2,2,0,0
Como,6,7,11,3,10.27,7.93,9,11,9,11.71,12.19,10,6,2,6,2,WWLLW,WDWWD,LLWDD,5,2,4,0,0,7,1,3,0,0,2,0,1,0,0,6,0,2,1,0
Bologna,7,8,11,6,12.79,8.36,8,13,8,11.62,12.96,6,6,4,4,2,WLDLL,LLWDW,WDWWD,6,0,3,2,0,9,1,2,1,0,4,0,2,0,0,5,0,1,2,0
Lazio,8,8,13,5,10.48,9.71,9,5,7,9.17,12.51,3,3,1,3,4,LDWDD,DDWWW,WLLDD,8,2,2,1,0,2,1,1,0,1,4,0,1,0,0,5,0,2,0,0
Sassuolo,9,8,10,10,9.99,12.42,9,12,10,11.59,13.91,6,7,7,5,1,LWDLL,LW DLL,D L W WD,5,1,4,0,0,6,1,3,2,0,3,1,3,3,0,6,1,2,1,1
Cremonese,10,8,9,11,10.53,12.89,9,9,9,8.3,17.88,5,4,7,3,3,WWLDL,WLLDD,DLWLW,3,1,3,2,0,5,0,4,0,0,10,0,0,1,0,7,0,1,1,0
Udinese,11,9,9,13,13.29,10.59,8,9,15,9.94,15.68,6,8,7,11,0,WWLDL,W L LWW,LW LLD,5,1,3,0,0,6,1,0,2,0,7,1,3,1,1,8,1,3,3,0
Atalanta,12,9,11,9,17.56,9.55,8,9,10,10.22,10.26,6,5,8,9,2,WWLWL,WWLDD,LLLDD,9,0,2,0,0,6,0,2,1,0,5,1,1,1,1,6,1,3,0,0
Torino,13,9,10,16,13.69,15.86,8,7,12,10.36,10.18,6,7,11,12,1,LLWWL,WL LDW,WDDDD,4,2,1,2,1,3,2,1,1,0,12,1,2,1,0,5,2,3,2,0
Lecce,14,9,6,11,10.5,12.21,7,5,11,5.2,10.6,3,8,2,7,3,LWLLW,WWDLD,LLWLW,3,0,3,0,0,3,0,2,0,0,5,1,3,2,0,6,1,3,1,0
Cagliari,15,8,10,12,9.24,12.71,9,9,12,9.63,16.00,7,7,12,8,3,LWLDW,DW DLL,L L DLD,5,1,4,0,0,6,1,1,1,0,7,1,3,1,0,6,2,4,0,0
Genoa,16,9,5,12,11.62,14.16,7,11,12,11.05,10.59,8,8,11,12,2,DWWLL, L W D LD,WD W LL,2,0,3,0,0,7,0,3,1,0,5,1,5,1,0,7,0,3,1,1
Parma,17,9,7,11,9.87,14.06,7,4,7,8.06,10.73,4,4,11,3,3,WWLWL,LLD LD,WWLDD,3,0,3,1,0,1,0,2,1,0,8,0,1,2,0,3,1,3,0,0
Verona,18,7,8,9,9.11,7.51,9,5,16,11.58,15.73,7,9,8,6,0,LLWWL,W L L DL,WL D LD,2,3,2,1,0,2,1,2,0,0,4,0,3,1,1,6,2,6,1,1
Pisa,19,9,1,7,9.91,11.5,8,10,17,11.04,15.57,2,8,5,9,0,LLLLD,LLWDD,DLDDD,1,0,0,0,0,3,2,0,5,1,4,1,1,1,0,12,0,5,0,0
Fiorentina,20,8,12,14,14.78,12.24,9,5,14,12.01,15.41,7,9,7,12,2,LLLWL,WLDLD,LLDLL,5,1,3,2,1,2,0,1,2,0,6,2,5,1,0,7,0,5,2,0
