team,season_position,home_matches_played,home_goals_scored,home_goals_conceded,home_xg_for,home_xg_against,away_matches_played,away_goals_scored,away_goals_conceded,away_xg_for,away_xg_against,goals_scored_last_5,goals_conceded_last_5,home_goals_conceded_last_5,away_goals_conceded_last_5,defenders_out,form_last_5_overall,form_last_5_home,form_last_5_away,home_goals_openplay_for,home_goals_counter_for,home_goals_setpiece_for,home_goals_penalty_for,home_goals_owngoal_for,away_goals_openplay_for,away_goals_counter_for,away_goals_setpiece_for,away_goals_penalty_for,away_goals_owngoal_for,home_goals_openplay_against,home_goals_counter_against,home_goals_setpiece_against,home_goals_penalty_against,home_goals_owngoal_against,away_goals_openplay_against,away_goals_counter_against,away_goals_setpiece_against,away_goals_penalty_against,away_goals_owngoal_against
Galatasaray,1,9,22,8,21.24,9.91,8,17,4,16.57,9.14,14,5,3,2,2,WWWDW,WWWDW,WDWLW,16,3,2,0,1,11,3,1,2,0,6,1,1,0,0,3,0,1,0,0
Fenerbahce,2,8,19,7,19.93,5.44,9,20,7,17.13,9.62,13,9,3,6,3,WWDWW,WWDWW,WDWWW,13,1,2,3,0,12,2,5,0,1,5,1,1,0,0,2,1,4,0,0
Trabzonspor,3,9,17,6,18.45,11.68,8,16,13,12.16,15.2,13,9,2,7,1,LDWWW,DDWWW,WLWDW,10,0,5,2,0,7,2,4,3,0,4,1,1,0,1,7,0,5,1,0
Goztepe,4,8,9,3,13.45,7.83,9,12,6,11.45,10.69,12,5,2,3,0,WWLWD,WLWDW,WWWLL,4,2,3,0,0,4,4,4,0,0,2,0,1,0,0,3,1,2,0,0
Besiktas,5,8,14,10,17.58,8.97,9,16,11,19.15,11.1,13,10,4,6,2,WDDWD,WDDLL,WDWDW,9,1,1,2,1,8,4,4,0,0,5,2,3,0,1,7,1,2,1,0
Samsunspor,6,9,9,9,13.5,5.94,8,13,11,13.01,12.77,7,7,2,5,0,LLLDD,LDDWD,LLDWW,4,1,2,1,1,7,1,3,0,2,5,1,2,0,1,8,1,1,1,0
Basaksehir,7,8,13,10,13.84,13.99,9,14,8,12.52,10.64,13,6,3,3,2,WWDWL,WDWLL,WWLWD,7,0,3,2,1,6,3,4,0,1,7,1,1,1,0,3,1,2,1,1
Kocaelispor,8,9,9,4,11.26,4.68,8,6,12,6.98,12.4,11,7,1,6,0,WDDWD,WDWWW,DDLWL,3,0,4,2,0,3,0,3,0,0,1,0,2,0,1,8,0,2,2,1
Gaziantep,9,9,12,16,15.62,14.56,8,12,12,10.62,18.04,10,11,4,7,3,LLDLW,LLDLW,LDWDW,7,2,2,1,0,6,1,3,2,0,7,0,6,3,1,9,0,2,1,1
Alanyaspor,10,8,6,3,9.79,8.48,9,10,12,11.46,13.3,9,4,1,3,2,WDDDL,WDLDW,DDDLD,1,1,3,1,0,7,1,1,1,0,2,0,1,0,0,8,0,3,1,0
Genclerbirligi,11,8,14,11,13.57,11.94,9,7,12,6.67,17.1,11,9,5,4,1,WDWLL,WWWLD,DLLLW,6,1,5,2,0,3,1,2,0,1,6,0,4,1,1,8,1,1,2,0
Rizespor,12,9,9,13,13.21,10.07,8,11,11,9.05,14.39,8,12,6,6,0,LWDLL,WLLWD,LDDDW,4,1,3,1,0,7,2,1,0,1,8,3,2,0,0,5,2,2,2,0
Konyaspor,13,9,11,12,12.92,12.22,8,10,16,9.9,15.9,6,14,4,10,1,DLDLD,DDDLL,LLLWD,8,0,0,2,1,6,0,2,1,1,7,1,4,0,1,10,1,3,2,0
Kasimpasa,14,8,6,12,9.93,11.68,9,8,12,5.72,14.89,7,9,5,4,3,LDDLW,LDLLD,LDLWL,3,0,2,1,0,5,0,2,0,1,5,3,4,0,0,9,1,2,0,0
Antalyaspor,15,8,9,22,7.93,14.17,9,7,9,5.48,14.04,6,14,13,1,0,LLDLD,LLLLL,LDDWL,6,0,3,0,0,4,0,3,0,0,13,4,5,0,0,5,1,2,1,0
Kayserispor,16,8,6,18,9.7,14.55,9,10,15,10.45,16.19,10,12,6,6,2,DDDWL,DLWLD,DDWLD,4,1,1,0,0,9,0,1,0,0,8,5,4,1,0,7,1,5,2,0
Eyupspor,17,9,7,13,12.53,13.5,8,3,11,9.57,12.44,4,13,6,7,0,LLDWD,LDDLW,LWLLL,7,0,0,0,0,1,0,1,1,0,9,0,2,2,0,5,1,2,3,0
Karagumruk,18,9,8,16,10.2,16.3,8,6,16,8.02,16.81,6,16,7,9,0,LDLLD,DLWDL,LLDLL,4,1,2,1,0,3,0,2,0,1,9,1,2,2,2,9,2,2,1,2
